solvent_original,canonical_solvent_smiles,is_valid_rdkit,is_environment_label,deep4chem_row_count,molecular_weight,exact_molecular_weight,logp,molar_refractivity,tpsa,num_hbond_donors,num_hbond_acceptors,num_rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,num_heteroatoms,fraction_csp3,formal_charge,num_valence_electrons,dielectric_constant,refractive_index,dipole_moment,hbond_donor,hbond_acceptor,polarity_ET30,existing_solvent_match
ClCCl,ClCCl,True,False,2648,84.93299999999999,83.953355424,1.4215,16.573,0.0,0,0,0,0,0,3,2,1.0,0,20,8.93,1.424,1.6,0.04,0.178,40.7,CH2Cl2
CC#N,CC#N,True,False,2093,41.053,41.026549096,0.52988,11.287,23.79,0,1,0,0,0,3,1,0.5,0,16,35.7,1.344,3.92,0.044,0.286,45.6,MeCN
Cc1ccccc1,Cc1ccccc1,True,False,1652,92.14099999999999,92.062600256,1.99502,31.17899999999999,0.0,0,0,0,1,1,7,0,0.14285714285714285,0,36,2.38,1.4969,0.36,0.0,0.128,33.9,toluene
C1CCOC1,C1CCOC1,True,False,1493,72.107,72.057514876,0.7968,20.052999999999997,9.23,0,1,0,1,0,5,1,1.0,0,30,7.58,1.407,1.75,0.0,0.591,37.4,THF
ClC(Cl)Cl,ClC(Cl)Cl,True,False,1335,119.37800000000001,117.91438307199999,1.9864,21.346999999999998,0.0,0,0,0,0,0,4,3,1.0,0,26,4.81,1.4459,1.04,0.047,0.071,39.1,CHCl3
CO,CO,True,False,1323,32.042,32.026214748,-0.3915,8.1428,20.23,1,1,0,0,0,2,1,1.0,0,14,32.6,1.3288,1.7,0.605,0.545,55.4,MeOH
CCO,CCO,True,False,971,46.069,46.041864812,-0.0014000000000000123,12.759800000000002,20.23,1,1,0,0,0,3,1,1.0,0,20,24.55,1.3611,1.69,0.4,0.658,51.9,EtOH
CS(C)=O,CS(C)=O,True,False,809,78.136,78.013935812,-0.005299999999999971,19.990399999999998,17.07,0,1,0,0,0,4,2,1.0,0,26,46.7,1.4793,3.96,0.072,0.647,45.1,DMSO
C1CCCCC1,C1CCCCC1,True,False,795,84.162,84.093900384,2.3406000000000002,27.701999999999984,0.0,0,0,0,1,0,6,0,1.0,0,36,2.02,1.4266,0.0,0.0,0.073,30.9,Cyclohexane
CN(C)C=O,CN(C)C=O,True,False,745,73.095,73.052763844,-0.2956000000000001,19.750999999999998,20.310000000000002,0,1,1,0,0,5,2,0.6666666666666666,0,30,36.7,1.4305,3.82,0.031,0.613,43.2,DMF
CCCCCC,CCCCCC,True,False,713,86.178,86.109550448,2.5866000000000007,29.81599999999998,0.0,0,0,3,0,0,6,0,1.0,0,38,1.89,1.3749,0.0,0.0,0.056,31.0,hexane
CCOC(C)=O,CCOC(C)=O,True,False,699,88.106,88.052429496,0.5694,22.30699999999999,26.3,0,2,1,0,0,6,2,0.75,0,36,6.02,1.372,1.78,0.0,0.542,38.1,ethyl acetate
O,O,True,False,629,18.015,18.010564684,-0.8247,3.6138,31.5,0,0,0,0,0,1,1,0.0,0,8,78.4,1.333,1.85,1.062,0.025,63.1,H2O
C1COCCO1,C1COCCO1,True,False,485,88.106,88.052429496,0.03320000000000001,21.637999999999995,18.46,0,2,0,1,0,6,2,1.0,0,36,2.21,1.422,0.45,0.0,0.444,36.0,dioxane
CC(C)=O,CC(C)=O,True,False,436,58.080000000000005,58.041864812,0.5952999999999999,16.355,17.07,0,1,0,0,0,4,1,0.6666666666666666,0,24,20.7,1.3588,2.88,0.0,0.475,42.2,Acetone
c1ccccc1,c1ccccc1,True,False,251,78.11399999999999,78.046950192,1.6866,26.441999999999993,0.0,0,0,0,1,1,6,0,0.0,0,30,2.28,1.5011,0.0,0.0,0.124,34.3,benzene
CC(C)O,CC(C)O,True,False,225,60.096000000000004,60.057514876,0.38710000000000006,17.354800000000004,20.23,1,1,0,0,0,4,1,1.0,0,26,18.3,1.3776,1.66,0.283,0.83,48.4,2-Propanol
CCOCC,CCOCC,True,False,201,74.123,74.07316494,1.0428000000000002,22.166999999999994,9.23,0,1,2,0,0,5,1,1.0,0,32,4.33,1.3526,1.15,0.0,0.562,34.5,Diethyl ether
CCCCO,CCCCO,True,False,173,74.12299999999999,74.07316494,0.7787999999999999,21.993799999999997,20.23,1,1,2,0,0,5,1,1.0,0,32,17.8,1.3993,1.66,0.341,0.809,49.7,1-Butanol
CCCO,CCCO,True,False,135,60.096,60.057514876,0.3887,17.376800000000003,20.23,1,1,1,0,0,4,1,1.0,0,26,20.1,1.3856,1.68,0.367,0.782,50.7,1-Propanol
O=P(c1ccccc1)(c1ccccc1)c1ccccc1Oc1ccccc1P(=O)(c1ccccc1)c1ccccc1,O=P(c1ccccc1)(c1ccccc1)c1ccccc1Oc1ccccc1P(=O)(c1ccccc1)c1ccccc1,True,False,129,570.5650000000003,570.151368016,6.757700000000008,171.7429999999996,43.370000000000005,0,3,8,6,6,41,5,0.0,0,200,,,,,,,
CCCCCCC,CCCCCCC,True,False,116,100.205,100.12520051199999,2.976700000000002,34.432999999999986,0.0,0,0,4,0,0,7,0,1.0,0,44,1.92,1.3876,0.0,0.0,0.083,31.1,heptane
CCCCOCCCC,CCCCOCCCC,True,False,85,130.231,130.135765196,2.603200000000001,40.635000000000005,9.23,0,1,6,0,0,9,1,1.0,0,56,3.08,1.399,1.18,0.0,0.637,33.0,Di-n-butyl ether
ClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl,True,False,83,153.823,151.87541072,2.5529,26.143,0.0,0,0,0,0,0,5,4,1.0,0,32,2.24,1.46,0.0,0.0,0.044,32.4,CCl4
CC1CCCCC1,CC1CCCCC1,True,False,64,98.18900000000001,98.109550448,2.5866000000000007,32.24899999999998,0.0,0,0,0,1,0,7,0,1.0,0,42,2.02,1.423,0.0,0.0,0.069,30.9,methylcyclohexane
CCCCCCCCO,CCCCCCCCO,True,False,59,130.23100000000002,130.135765196,2.3392000000000013,40.461800000000004,20.23,1,1,6,0,0,9,1,1.0,0,56,10.3,1.4295,1.76,0.299,0.923,48.1,1-Octanol
OCC(F)(F)F,OCC(F)(F)F,True,False,56,100.03900000000002,100.013599376,0.5410000000000001,13.140800000000002,20.23,1,1,0,0,0,6,4,1.0,0,38,26.7,1.291,2.09,0.893,0.107,59.8,TFE
OCCO,OCCO,True,False,54,62.068000000000005,62.036779432,-1.0290000000000001,14.171600000000002,40.46,2,2,1,0,0,4,2,1.0,0,26,37.7,1.4318,2.28,0.717,0.534,56.3,ethylene glycol
CCCCCCO,CCCCCCO,True,False,45,102.17699999999999,102.104465068,1.559,31.22779999999998,20.23,1,1,4,0,0,7,1,1.0,0,44,13.3,1.4179,1.7,0.315,0.879,48.8,1-Hexanol
c1cc(-c2cccc(-n3c4ccccc4c4ccccc43)c2)cc(-n2c3ccccc3c3ccccc32)c1,c1cc(-c2cccc(-n3c4ccccc4c4ccccc43)c2)cc(-n2c3ccccc3c3ccccc32)c1,True,False,43,484.6020000000002,484.193948768,9.547799999999995,160.55599999999967,9.86,0,0,3,8,8,38,2,0.0,0,178,,,,,,,
c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,True,False,43,484.60200000000015,484.193948768,9.547799999999995,160.55599999999964,9.86,0,0,3,8,8,38,2,0.0,0,178,,,,,,,
c1ccncc1,c1ccncc1,True,False,42,79.10199999999998,79.04219916,1.0816,24.236999999999995,12.89,0,1,0,1,1,6,1,0.0,0,30,13.0,1.509,2.2,0.033,0.581,40.5,Pyridine
OCC(O)CO,OCC(O)CO,True,False,41,92.09400000000001,92.047344116,-1.6681000000000001,20.1784,60.69,3,3,2,0,0,6,3,1.0,0,38,42.5,1.473,2.68,0.653,0.309,57.0,Glycerol
c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,True,False,39,408.5040000000001,408.16264864,7.880800000000005,135.11999999999995,9.86,0,0,2,7,7,32,2,0.0,0,150,,,,,,,
CCCCCO,CCCCCO,True,False,34,88.14999999999999,88.088815004,1.1689,26.61079999999999,20.23,1,1,3,0,0,6,1,1.0,0,38,,,,,,,
CC(C)(C)O,CC(C)(C)O,True,False,33,74.12299999999999,74.07316494,0.7771999999999999,21.971799999999995,20.23,1,1,0,0,0,5,1,1.0,0,32,12.5,1.3878,1.66,0.145,0.928,43.3,2-methyl-2-propanol
CC1CCCO1,CC1CCCO1,True,False,32,86.134,86.07316494,1.1853,24.64799999999999,9.23,0,1,0,1,0,6,1,1.0,0,36,6.97,1.405,1.38,0.0,0.584,36.5,Me-THF
CCN(CC)CC,CCN(CC)CC,True,False,28,101.193,101.12044947999999,1.3481,33.46199999999998,3.24,0,1,3,0,0,7,1,1.0,0,44,2.42,1.401,0.66,0.0,0.885,32.1,Triethylamine
NC=O,NC=O,True,False,28,45.041,45.021463716,-0.8985000000000001,10.2514,43.09,1,1,0,0,0,3,2,0.0,0,18,109.0,1.447,3.73,0.549,0.414,55.8,Formamide
CC(C)CO,CC(C)CO,True,False,27,74.12299999999999,74.07316494,0.6347,21.923799999999996,20.23,1,1,1,0,0,5,1,1.0,0,32,,,,,,,
CC(=O)O,CC(=O)O,True,False,26,60.05200000000001,60.021129368000004,0.09089999999999993,13.309800000000001,37.3,1,1,0,0,0,4,2,0.5,0,24,,,,,,,
O=P(c1ccccc1)(c1ccccc1)c1ccc2oc3ccc(P(=O)(c4ccccc4)c4ccccc4)cc3c2c1,O=P(c1ccccc1)(c1ccccc1)c1ccc2oc3ccc(P(=O)(c4ccccc4)c4ccccc4)cc3c2c1,True,False,25,568.5490000000001,568.135717952,6.864800000000007,172.50499999999963,47.28,0,3,6,7,7,41,5,0.0,0,198,,,,,,,
CCCCCCCCCCO,CCCCCCCCCCO,True,False,24,158.285,158.167065324,3.119400000000002,49.69580000000003,20.23,1,1,8,0,0,11,1,1.0,0,68,7.93,1.4372,1.68,0.259,0.912,47.7,1-Decanol
CCCCC,CCCCC,True,False,21,72.151,72.093900384,2.1965000000000003,25.19899999999999,0.0,0,0,2,0,0,5,0,1.0,0,32,,,,,,,
ClCCCl,ClCCCl,True,False,20,98.96000000000001,97.969005488,1.464,21.439999999999994,0.0,0,0,1,0,0,4,2,1.0,0,26,,,,,,,
OCCOCCO,OCCOCCO,True,False,20,106.121,106.06299418,-1.0124,24.99059999999999,49.69,2,3,4,0,0,7,3,1.0,0,44,,,,,,,
gas,,False,True,20,,,,,,,,,,,,,,,,,,,,,,
