"solvent","dielectric_constant","refractive_index","dipole_moment","hbond_donor","hbond_acceptor","polarity_ET30"
"1,2-propanediol","32.0","1.4324","2.27","0.475","0.598","54.1"
"1-Butanol","17.8","1.3993","1.66","0.341","0.809","49.7"
"1-Decanol","7.93","1.4372","1.68","0.259","0.912","47.7"
"1-Hexanol","13.3","1.4179","1.7","0.315","0.879","48.8"
"1-methyl-2-pyrrolidinone","32.2","1.47","4.09","0.024","0.613","48.0"
"1-Octanol","10.3","1.4295","1.76","0.299","0.923","48.1"
"1-octanol","10.3","1.4295","1.76","0.299","0.923","48.1"
"1-Propanol","20.1","1.3856","1.68","0.367","0.782","50.7"
"1-propanol","20.1","1.3856","1.68","0.367","0.782","50.7"
"2-methyl-2-propanol","12.5","1.3878","1.66","0.145","0.928","43.3"
"2-Methylbutane","1.84","1.3547","0.0","0.0","0.053","30.9"
"2-Pentanone","15.4","1.39","2.7","0.01","0.537","41.1"
"2-Propanol","18.3","1.3776","1.66","0.283","0.83","48.4"
"2-propanol","18.3","1.3776","1.66","0.283","0.83","48.4"
"Acetone","20.7","1.3588","2.88","0.0","0.475","42.2"
"Acetonitrile:H2O(1:1)","59.0","1.344","2.75","1.062","0.025","63.1"
"benzene","2.28","1.5011","0.0","0.0","0.124","34.3"
"Benzene","2.28","1.5011","0.0","0.0","0.124","34.3"
"Bromobenzene","5.4","1.5598","1.57","0.0","0.192","36.6"
"Butyl acetate","5.01","1.394","1.84","0.0","0.525","38.5"
"CCl4","2.24","1.46","0.0","0.0","0.044","32.4"
"CH2Cl2","8.93","1.424","1.6","0.04","0.178","40.7"
"CHCl3","4.81","1.4459","1.04","0.047","0.071","39.1"
"chlorobenzene","5.62","1.5248","1.69","0.0","0.182","36.8"
"Cyclohexane","2.02","1.4266","0.0","0.0","0.073","30.9"
"cyclohexane","2.02","1.4266","0.0","0.0","0.073","30.9"
"DCB","9.93","1.551","2.5","0.033","0.144","38.0"
"Di-n-butyl ether","3.08","1.399","1.18","0.0","0.637","33.0"
"Diethyl ether","4.33","1.3526","1.15","0.0","0.562","34.5"
"Diisopropyl ether","3.88","1.368","1.13","0.0","0.657","34.1"
"dioxane","2.21","1.422","0.45","0.0","0.444","36.0"
"DMA","37.8","1.438","3.72","0.028","0.65","42.9"
"DMF","36.7","1.4305","3.82","0.031","0.613","43.2"
"DMSO","46.7","1.4793","3.96","0.072","0.647","45.1"
"DMSO ","46.7","1.4793","3.96","0.072","0.647","45.1"
"ethyl acetate","6.02","1.372","1.78","0.0","0.542","38.1"
"ethylene glycol","37.7","1.4318","2.28","0.717","0.534","56.3"
"Ethylene glycol","37.7","1.4318","2.28","0.717","0.534","56.3"
"EtOH","24.55","1.3611","1.69","0.4","0.658","51.9"
"Formamide","109.0","1.447","3.73","0.549","0.414","55.8"
"Glycerol","42.5","1.473","2.68","0.653","0.309","57.0"
"H2O","78.4","1.333","1.85","1.062","0.025","63.1"
"heptane","1.92","1.3876","0.0","0.0","0.083","31.1"
"hexane","1.89","1.3749","0.0","0.0","0.056","31.0"
"Hexane","1.89","1.3749","0.0","0.0","0.056","31.0"
"Me-THF","6.97","1.405","1.38","0.0","0.584","36.5"
"MeCN ","35.7","1.344","3.92","0.044","0.286","45.6"
"MeOH","32.6","1.3288","1.7","0.605","0.545","55.4"
"Methyl acetate","6.68","1.361","1.72","0.0","0.527","38.9"
"Methyl formate","8.5","1.343","1.77","0.0","0.477","41.9"
"methylcyclohexane","2.02","1.423","0.0","0.0","0.069","30.9"
"N-Methylformamide","182.0","1.432","3.83","0.031","0.613","54.1"
"o-Dimethoxybenzene","4.5","1.533","1.97","0.0","0.34","38.4"
"Pyridine","13.0","1.509","2.2","0.033","0.581","40.5"
"Tert-pentanol","5.8","1.405","1.7","0.145","0.928","41.0"
"TFE","26.7","1.291","2.09","0.893","0.107","59.8"
"THF ","7.58","1.407","1.75","0.0","0.591","37.4"
"THF","7.58","1.407","1.75","0.0","0.591","37.4"
"toluene","2.38","1.4969","0.36","0.0","0.128","33.9"
"Toluene","2.38","1.4969","0.36","0.0","0.128","33.9"
"Toluene ","2.38","1.4969","0.36","0.0","0.128","33.9"
"Triethylamine","2.42","1.401","0.66","0.0","0.885","32.1"
"triethylamine","2.42","1.401","0.66","0.0","0.885","32.1"
